Company,ISIN,NSE,BSE,Category
Ducon Infratechnologies Limited,INE741L01018,DUCON,DUCON,Small Cap
Shri Krishna Devcon Limited,INE997I01012,,SHRIKRISH,Small Cap
Sadbhav Infrastructure Project Limited,INE764L01010,SADBHIN,SADBHIN,Small Cap
INVENTURE GROWTH & SECURITIES LIMITED,INE878H01024,INVENTURE,INVENTURE,Small Cap
Focus Business Solution Limited,INE0DXR01010,,FOCUS,Small Cap
PURPLE WAVE INFOCOM LIMITED,INE0VDK01019,,PURPLEWAVE,Small Cap
Maruti Infrastructure Ltd.,INE392G01028,,MAINFRA,Small Cap
Gayatri BioOrganics Ltd,INE052E01015,,GAYATRIBI,Small Cap
Rajnandini Metal Ltd.,INE00KV01022,RAJMET,,Small Cap
RSD Finance Limited,INE616F01022,,RSDFIN,Small Cap
NOVELIX PHARMACEUTICALS LIMITED,INE314I01036,,NOVELIX,Small Cap
SC Agrotech Limited,INE895E01017,,SCAGRO,Small Cap
Naapbooks Limited,INE0GOA01018,,NBL,Small Cap
Lovable Lingerie Limited,INE597L01014,LOVABLE,LOVABLE,Small Cap
Suryalakshmi Cotton Mills Ltd.,INE713B01026,SURYALAXMI,SURYALAXMI,Small Cap
Addi Industries Ltd.,INE757C01021,,ADDIND,Small Cap
KG Petrochem Ltd.,INE902G01016,,KGPETRO,Small Cap
Indian Infotech And Software Ltd.,INE300B01022,,INDINFO,Small Cap
PRABHAT TECHNOLOGIES (INDIA) LIMITED,INE171P01019,,PTIL,Small Cap
The Grob Tea Company Ltd.,INE646C01018,GROBTEA,,Small Cap
Sodhani Academy of Fintech Enablers Limited,INE0Q3401017,,SAFE,Small Cap
Shilp Gravures Ltd.,INE960A01017,,SHILGRAVQ,Small Cap
Mega Nirman & Industries Limited,INE216Q01010,,MNIL,Small Cap
Dachepalli Publishers Limited,INE1F9M01018,,DACHEPALLI,Small Cap
Greenhitech Ventures Limited,INE0S0701019,,GVL,Small Cap
KVS Castings Limited,INE163701019,,KVSCASTING,Small Cap
Rungta Irrigation Ltd.,INE347C01013,,RUNGTAIR,Small Cap
Ambar Protein Industries Limited,INE072V01017,,AMBARPIL,Small Cap
Beardsell Ltd.,INE520H01022,BEARDSELL,,Small Cap
Mehai Technology  Limited,INE062Y01020,,MEHAI,Small Cap
Samrat Forgings Limited,INE412J01010,,SAMRATFORG,Small Cap
Athena Global Technologies Limited,INE576B01019,,ATHENAGLO,Small Cap
MRC AGROTECH LIMITED,INE333Y01017,,MRCAGRO,Small Cap
HILTON METAL FORGING LIMITED,INE788H01017,HILTON,HILTON,Small Cap
JCT Ltd,INE945A01026,,JCTLTD,Small Cap
Titan Securities Ltd.,INE090D01017,,TITANSEC,Small Cap
AARNAV FASHIONS LIMITED,INE750R01016,AARNAV,AARNAV,Small Cap
MEHUL TELECOM LIMITED,INE1K0V01011,,MTL,Small Cap
Newtime Infrastructure Limited,INE997D01021,,NEWINFRA,Small Cap
Loyal Textiles Mills Ltd,INE970D01010,LOYALTEX,LOYALTEX,Small Cap
Denis Chem Lab Limited,INE051G01012,,DENISCHEM,Small Cap
Hindustan Appliances Ltd,INE02XD01011,,HINDAPL,Small Cap
Optimus Finance Limited,INE031G01022,,OPTIFIN,Small Cap
Rajshree Sugars & Chemicals Ltd.,INE562B01019,RAJSREESUG,RAJSREESUG,Small Cap
Art Nirman Ltd.,INE738V01013,ARTNIRMAN,,Small Cap
Bhilwara Spinners Ltd,INE436C01014,,BHILSPIN,Small Cap
B.A.G. Films & Media Ltd,INE116D01028,BAGFILMS,BAGFILMS,Small Cap
Ceenik Exports (india) Ltd.,INE418D01010,,CEENIK,Small Cap
Akar Auto Industries Limited,INE864E01021,,AAIL,Small Cap
Naturite Agro Products Limited,INE223R01014,,NAPL,Small Cap
Basant Agro-Tech (India) Ltd.,INE473E01021,,BASANTGL,Small Cap
Kartik Investments Trust Ltd.,INE524U01019,,KARTKIN,Small Cap
FIBERWEB (INDIA) LTD.,INE296C01020,FIBERWEB,FIBERWEB,Small Cap
NATH INDUSTRIES LIMITED,INE777A01023,,NATHIND,Small Cap
TELGE PROJECTS LIMITED,INE0SRP01014,,TELGE,Small Cap
Lambodhara Textiles Ltd.,INE112F01022,LAMBODHARA,LAMBODHARA,Small Cap
Housing Development & Infrastructure  Ltd,INE191I01012,HDIL,HDIL,Small Cap
Alstone Textiles (India) Limited,INE184S01024,,ALSTONE,Small Cap
MRP Agro Limited,INE0D7801012,,MRP,Small Cap
Fortis Malar Hospitals Limited,INE842B01015,,FORTISMLR,Small Cap
Surat Trade and Mercantile Limited,INE936A01025,,SURATRAML,Small Cap
SILICON RENTAL SOLUTIONS LIMITED,INE0MNV01014,,SRSOLTD,Small Cap
DEEPAK CHEMTEX LIMITED,INE0RDM01013,,DEEPAKCHEM,Small Cap
Cg-Vak Software & Exports Ltd.,INE084D01010,,CGVAK,Small Cap
Asit C Mehta Financial Services Limited,INE041B01014,,ASITCFIN,Small Cap
GOYAL ALUMINIUMS LIMITED,INE705X01026,GOYALALUM,GOYALALUM,Small Cap
JAGSONPAL SERVICES LIMITED,INE582C01015,,JAGSONSER,Small Cap
Vistar Amar Limited,INE878P01019,,VISTARAMAR,Small Cap
SEL Manufacturing Company Limited,INE105I01020,SELMC,SELMC,Small Cap
RKEC Projects Ltd.,INE786W01010,RKEC,,Small Cap
Texel Industries Ltd.,INE594V01028,,TEXELIN,Small Cap
Dhampure Speciality Sugars Ltd.,INE956B01013,,DHAMPURE,Small Cap
Sarthak Metals Limited,INE017W01010,SMLT,SMLT,Small Cap
Cenlub Industries Ltd.,INE627F01011,,CENLUB,Small Cap
Ashnisha Industries Limited,INE694W01024,,ASHNI,Small Cap
CLARA INDUSTRIES LIMITED,INE0JJS01014,,CLARA,Small Cap
TOMORROW TECHNOLOGIES GLOBAL INNOVATIONS LIMITED,INE135H01029,,TTGIL,Small Cap
Auto Pins (India) Ltd.,INE706C01028,,AUTOPINS,Small Cap
Gujarat State Financial corporation,INE944A01011,,GUJSTATFIN,Small Cap
Standard Industries Ltd.,INE173A01025,SIL,SIL,Small Cap
GEM Enviro Management Limited,INE0RUJ01013,,GEMENVIRO,Small Cap
Gujarat Containers Ltd.,INE276I01011,,GUJCONT,Small Cap
Amarjothi Spinning Mills Ltd,INE484D01012,,AMARJOTHI,Small Cap
R.R.Financial Consultants Ltd.,INE229D01011,,RRFIN,Small Cap
BITS Ltd,INE839A01021,,BITS,Small Cap
McDowell Holdings Limited,INE836H01014,,MCDHOLDING,Small Cap
LEO DRYFRUITS & SPICES TRADING LIMITED,INE0RH001011,,VANDU,Small Cap
Vaishali Pharma Ltd.,INE972X01022,VAISHALI,,Small Cap
Panyam Cements & Mineral Inds. Ltd.,INE167E01037,,PANCM,Small Cap
Pacific Industries ltd.,INE883C01025,,PACIFICI,Small Cap
Cura Technologies Limited,INE117B01020,CURAA,CURAA,Small Cap
Vibrant Global Capital Limited,INE761Q01015,,VGCL,Small Cap
SAL AUTOMOTIVE LIMITED,INE724G01014,,SALAUTO,Small Cap
Palash Securities Limited,INE471W01019,PALASHSECU,PALASHSECU,Small Cap
Meera Industries Limited,INE343X01026,,MEERA,Small Cap
Valplast Technologies Limited,INE0QP701017,,VALPLAST,Small Cap
Modern Dairies Ltd.,INE617B01011,,MODAIRY,Small Cap
Total Transport Systems Ltd.,INE336X01012,TOTAL,,Small Cap
Saumya Consultants Ltd.,INE563C01015,,SAUMYA,Small Cap
Vippy Spinpro Ltd.,INE660D01017,,VIPPYSP,Small Cap
Prithvi Exchange (India) Limited,INE621B01021,,PRITHVIEXCH,Small Cap
DB(INTERNATIONAL)Stock Brokers Ltd,INE921B01025,DBSTOCKBRO,DBSTOCKBRO,Small Cap
Shetron Ltd.,INE278C01010,,SHETR,Small Cap
Mercury Laboratories Limited,INE947G01011,,MERCURYLAB,Small Cap
AI CHAMPDANY INDUSTRIES LIMITED,INE768E01024,,AICHAMP,Small Cap
RUKMANI DEVI GARG AGRO IMPEX LIMITED,INE0S5T01017,,RDGAIL,Small Cap
Aksh Optifibre Ltd.,INE523B01011,AKSHOPTFBR,AKSHOPTFBR,Small Cap
Super Iron Foundry Limited,INE16IQ01014,,SUPERIRON,Small Cap
BARAK VALLEY CEMENTS LIMITED,INE139I01011,BVCL,BVCL,Small Cap
Ramchandra Leasing & Finance Limited,INE516P01015,,RLFL,Small Cap
Amrapali Industries Ltd,INE762C01021,,AMRAPLIN,Small Cap
Archit Organosys Limited,INE078I01011,,ARCHITORG,Small Cap
Reliance Chemotex Industries Ltd.,INE750D01016,RELCHEMQ,RELCHEMQ,Small Cap
Atlas Jewellery India Limited,INE022N01019,,AJIL,Small Cap
KIAASA RETAIL LIMITED,INE1C3F01018,,KIAASA,Small Cap
Mayank Cattle Food Limited,INE0R5Z01015,,MCFL,Small Cap
DHARAN INFRA-EPC LIMITED,INE278R01034,DHARAN,DHARAN,Small Cap
DIGJAM LIMITED,INE731U01028,DIGJAMLMTD,DIGJAMLMTD,Small Cap
Ultracab (India) Limited,INE010R01023,,ULTRACAB,Small Cap
Uma Exports Limited,INE0GIU01018,UMAEXPORTS,UMAEXPORTS,Small Cap
Siyaram Recycling Industries Limited,INE0QSK01017,,SIYARAM,Small Cap
Motor & General Finance (M.G.F.) Lt,INE861B01023,MOTOGENFIN,MOTOGENFIN,Small Cap
R S Software India Ltd.,INE165B01029,RSSOFTWARE,RSSOFTWARE,Small Cap
Kohinoor Foods Ltd,INE080B01012,KOHINOOR,KOHINOOR,Small Cap
Cravatex Ltd.,INE145E01017,,CRAVATEX,Small Cap
Advik Capital Limited,INE178T01024,,ADVIKCA,Small Cap
Tayo Rolls Ltd.,INE895C01011,,TATAYODOGA,Small Cap
Radhe Developers (India) ltd.,INE986B01044,,RADHEDE,Small Cap
Rexnord Electronics & Controls Ltd.,INE687C01012,,REXNORD,Small Cap
Rajasthan Tube Mfg. Co,INE497E01020,,RAJTUBE,Small Cap
Kakatiya Cement Sugar & Industries Ltd.,INE437B01014,KAKATCEM,KAKATCEM,Small Cap
Shervani Industrial syndicate Ltd,INE011D01013,,SHERVANI,Small Cap
Prerna Infrabuild Limited,INE426H01014,,PRERINFRA,Small Cap
MENA MANI INDUSTRIES LIMITED,INE148B01033,,MENAMANI,Small Cap
IKOMA TECHNOLOGIES LIMITED,INE164D01010,,IKOMA,Small Cap
KOVILPATTI LAKSHMI ROLLER FLOUR MILLS  LTD,INE014E01015,,KLRFM,Small Cap
J.A. Finance Limited,INE825B01010,,JAFINANCE,Small Cap
ITL Industries Ltd.,INE478D01014,,ITL,Small Cap
CONFIDENCE FUTURISTIC ENERGETECH LIMITED,INE700F01024,,CFEL,Small Cap
Gautam Exim Limited,INE721X01023,,GEL,Small Cap
G M Polyplast Limited,INE0E2801015,,GMPL,Small Cap
T & I Global Ltd.,INE811B01010,,TIGLOB,Small Cap
Tanvi Foods (India) Limited,INE978V01015,,TANVI,Small Cap
Chartered Logistics Ltd,INE558F01026,,CHLOGIST,Small Cap
Droneacharya Aerial Innovations Limited,INE0MQD01015,,DRONACHRYA,Small Cap
Landmark Property Development Company Ltd.,INE197J01017,LPDC,LPDC,Small Cap
Cinevista Limited,INE039B01026,CINEVISTA,CINEVISTA,Small Cap
APM Industries Ltd.,INE170D01025,,APMIN,Small Cap
Deep Polymers Limited,INE00IY01012,,DEEP,Small Cap
Lykis Limited,INE624M01014,,LYKISLTD,Small Cap
Concord Drugs Limited,INE858L01010,,CONCORD,Small Cap
Sanmit Infra Limited,INE799C01049,,SANINFRA,Small Cap
New Swan Multitech Limited,INE0GEN01012,,SWANAGRO,Small Cap
Fervent Synergies Limited,INE258M01011,,FERVENTSYN,Small Cap
Semac Construction Limited,INE617A01013,SEMAC,SEMAC,Small Cap
Gensol Engineering Limited,INE06H201014,GENSOL,GENSOL,Small Cap
Pee Cee Cosma Sope Ltd.,INE417E01010,,PCCOSMA,Small Cap
FLOMIC GLOBAL LOGISTICS LIMITED,INE952M01019,,FLOMIC,Small Cap
VARIMAN GLOBAL ENTERPRISES LIMITED,INE717F01028,,VARIMAN,Small Cap
Gabion Technologies India Limited,INE1H1501013,,GTIL,Small Cap
LIOTECH INDUSTRIES LIMITED,INE0TKX01011,,LIOTECH,Small Cap
Mysore Paper Mills Limited,INE924F01012,,MYSPAPE,Small Cap
SHANTI SPINTEX LIMITED,INE0QZQ01019,,SHANTIDENM,Small Cap
Inter Globe Finance Ltd.,INE661M01016,,INTRGLB,Small Cap
Jet Freight Logistics Limited,INE982V01025,JETFREIGHT,JETFREIGHT,Small Cap
VIRYA RESOURCES LIMITED,INE661K01010,,VIRYA,Small Cap
Touchwood Entertainment Ltd.,INE486Y01013,TOUCHWOOD,,Small Cap
Prime Industries Ltd.,INE543F01028,,PRIMIND,Small Cap
Aakash Exploration Services Ltd.,INE087Z01024,AAKASH,,Small Cap
Sancode Technologies Limited,INE0P7001013,,SANCODE,Small Cap
TECHKNOWGREEN SOLUTIONS LIMITED,INE0P4P01011,,TECHKGREEN,Small Cap
Rapicut Carbides Ltd.,INE350D01015,,RAPICUT,Small Cap
SPL INDUSTRIES LIMITED,INE978G01016,SPLIL,SPLIL,Small Cap
Chatterbox Technologies Limited,INE1B4801017,,CHTR,Small Cap
Retina Paints Limited,INE0NTC01019,,RETINA,Small Cap
Mukesh Babu Financial Services Ltd.,INE596B01017,,MUKESHB,Small Cap
Makers Laboratories Ltd.,INE987A01010,,MAKERSL,Small Cap
Transcorp International Ltd.,INE330E01023,,TRANSCOR,Small Cap
Sharda Ispat Ltd.,INE385M01012,,SHRDAIS,Small Cap
Rishiroop Limited,INE582D01013,,RISHIROOP,Small Cap
BLB Limited,INE791A01024,BLBLIMITED,BLBLIMITED,Small Cap
Tokyo Plast International Ltd.,INE932C01012,TOKYOPLAST,TOKYOPLAST,Small Cap
Piccadily Sugar  & Allied Ltd.,INE544C01023,,PICCASUG,Small Cap
SHRI VASUPRADA PLANTATIONS LIMITED,INE574G01013,,VASUPRADA,Small Cap
Hisar Metal Industries Ltd.,INE598C01011,HISARMETAL,HISARMETAL,Small Cap
AMD Industries Ltd,INE005I01014,AMDIND,AMDIND,Small Cap
WEP Solutions Ltd,INE434B01029,,WEPSOLN,Small Cap
GUJARAT PEANUT AND AGRI PRODUCTS LIMITED,INE0SIK01014,,GPAPL,Small Cap
Cosco (India) ltd.,INE949B01018,,COSCO,Small Cap
Gujarat Toolroom Ltd.,INE145J01032,,GUJTLRM,Small Cap
Acknit Industries Ltd,INE326C01017,,ACKNIT,Small Cap
Godavari Drugs Ltd.,INE362C01012,,GODAVARI,Small Cap
Patel Integrated Logistics Ltd,INE529D01014,PATINTLOG,PATINTLOG,Small Cap
DIGIDRIVE DISTRIBUTORS LIMITED,INE0PSC01024,DIGIDRIVE,DIGIDRIVE,Small Cap
VIKRAM KAMATS HOSPITALITY LIMITED,INE564S01019,,KAMATS,Small Cap
IEL LIMITED,INE056E01024,,INDXTRA,Small Cap
Cals Refineries Ltd,INE040C01022,,CALSREF,Small Cap
Deepak Spinners Ltd.,INE272C01013,,DEEPAKSP,Small Cap
ZENITH STEEL PIPES AND  INDUSTRIES LIMITED,INE318D01020,ZENITHSTL,ZENITHSTL,Small Cap
NUKLEUS OFFICE SOLUTIONS LIMITED,INE0VYX01018,,NUKLEUS,Small Cap
GALAXY SUPERMARKET LIMITED,INE403B01016,,GSLTD,Small Cap
Acme Resources Limited,INE636B01011,,ACME,Small Cap
Karnawati Innovation Limited,INE214D01021,,KARNAWATI,Small Cap
Royal Sense Limited,INE0QQG01019,,ROYAL,Small Cap
Odigma Consultancy Solutions Limited,INE054301028,ODIGMA,ODIGMA,Small Cap
Ganga Papers India Ltd,INE278O01015,,GANGAPA,Small Cap
Abhinav Capital Services Limited,INE516F01016,,ABHICAP,Small Cap
Polychem Ltd,INE752B01024,,POLYCHEM,Small Cap
ANUBHAV PLAST LIMITED,INE1O7201010,,ANUBHAV,Small Cap
TECHNICHEM ORGANICS LIMITED,INE0ZHT01012,,TECHNICHEM,Small Cap
IL&FS Transportation Networks Limited,INE975G01012,IL&FSTRANS,IL&FSTRANS,Small Cap
Kranti Industries Limited,INE911T01010,,KRANTI,Small Cap
Umiya Mobile Limited,INE1P1A01018,,UML,Small Cap
Narmadesh Brass Industries Limited,INE0S1B01014,,NARMADESH,Small Cap
Nilachal Refractories Ltd.,INE416N01013,,NILACHAL,Small Cap
Edvenswa Enterprises Limited,INE125G01014,,EDVENSWA,Small Cap
Narmada Macplast Drip Irrigation Sy,INE060D01028,,NARMP,Small Cap
HIMALAYA FOOD INTERNATIONAL LIMITED,INE552B01010,,HFIL,Small Cap
PORWAL AUTO COMPONENTS LIMITED,INE386I01018,,PORWAL,Small Cap
Atam Valves Limited,INE09KD01013,ATAM,ATAM,Small Cap
Nagreeka Exports Ltd.,INE123B01028,NAGREEKEXP,NAGREEKEXP,Small Cap
NEXOME CAPITAL MARKETS LIMITED,INE641A01013,,NEXOME,Small Cap
Source Natural Foods & Herbal Suppl Ltd,INE679C01027,,SOURCENTRL,Small Cap
Energy Development Company Ltd.,INE306C01019,ENERGYDEV,ENERGYDEV,Small Cap
Prakash Steelage Limited,INE696K01024,PRAKASHSTL,PRAKASHSTL,Small Cap
Sunsky Logistics Limited,INE10CM01027,,SUNSKY,Small Cap
CHOKSI ASIA LIMITED,INE865B01016,,CHOKSI,Small Cap
Pioneer Embroideries Ltd.,INE156C01018,PIONEEREMB,PIONEEREMB,Small Cap
F MEC INTERNATIONAL FINANCIAL SERVICES LIMITED,INE108T01021,,FMEC,Small Cap
Chartered Capital & Investment Ltd.,INE953B01010,,CHRTEDCA,Small Cap
Aspira Pathlab & Diagnostics Limited,INE500C01017,,ASPIRA,Small Cap
Shalimar Wires Industries Ltd.,INE655D01025,,SHALIWIR,Small Cap
Ascensive Educare Limited,INE0E4I01027,,ASCENSIVE,Small Cap
G G Engineering Limited,INE694X01030,,GGENG,Small Cap
Indian Acrylics Ltd,INE862B01013,,INDIANACRY,Small Cap
JHS Svendgaard Laboratories Ltd.,INE544H01014,JHS,JHS,Small Cap
KATI PATANG LIFESTYLE LIMITED,INE237C01016,,KATIPATANG,Small Cap
WSFX Global Pay Limited,INE549D01012,,WSFX,Small Cap
Haryana Capfin Ltd.,INE928H01019,,HARYNACAP,Small Cap
Choksi Laboratories Ltd.,INE493D01013,,CHOKSILA,Small Cap
TITAN INTECH LIMITED,INE807M01031,,TITANIN,Small Cap
Odyssey Technologies Ltd.,INE213B01019,,ODYSSEY,Small Cap
Retaggio Industries Limited,INE0KWJ01014,,RETAGGIO,Small Cap
Noida Toll Bridge Company Ltd,INE781B01015,NOIDATOLL,NOIDATOLL,Small Cap
Chowgule Steamships Ltd.,INE490A01015,,CHOWGULSTM,Small Cap
Softrak Venture Investments Ltd.,INE562E01021,,SOFTRAKV,Small Cap
Sanrhea Technical Textiles Ltd.,INE589J01015,,SANTETX,Small Cap
Accuracy Shipping Limited,INE648Z01023,ACCURACY,ACCURACY,Small Cap
Identixweb Limited,INE0PA401012,,IDENTIXWEB,Small Cap
Shri Balaji Valve Components Limited,INE0RNZ01014,,SBVCL,Small Cap
ORCHASP LIMITED,INE215B01022,ORCHASP,ORCHASP,Small Cap
Bharat Immunologicals & Biologicals,INE994B01014,,BIBCL,Small Cap
Binny Mills Limited,INE160L01011,,BINNYMILLS,Small Cap
TruCap Finance Limited,INE615R01029,TRU,TRU,Small Cap
Banka Bioloo Ltd.,INE862Y01015,BANKA,,Small Cap
Highness Microelectronics Limited,INE1KI801019,,HIGHNESS,Small Cap
Eros International Media Limited,INE416L01017,,EROSMEDIA,Small Cap
Riddhi Corporate Services Limited,INE325X01015,,RIDDHICORP,Small Cap
M.R.MANIVENI FOODS LIMITED,INE0YD301010,,MANIVENI,Small Cap
ACCEL LIMITED,INE258C01038,,ACCEL,Small Cap
JUNGLE CAMPS INDIA LIMITED,INE0WCH01015,,JUNGLECAMP,Small Cap
Punj LLoyd Ltd,INE701B01021,,PUNJLLOYD,Small Cap
Wallfort Financial Services Ltd.,INE121B01014,,WALLFORT,Small Cap
Ansal Buildwell Ltd.,INE030C01015,,ANSALBU,Small Cap
Banaras Beads Ltd.,INE655B01011,BANARBEADS,BANARBEADS,Small Cap
Cargotrans Maritime Limited,INE0M4L01013,,CARGOTRANS,Small Cap
NRB INDUSTRIAL BEARINGS LIMITED,INE047O01014,NIBL,NIBL,Small Cap
Amwill Health Care Limited,INE0U2L01017,,AMWILL,Small Cap
Bhaskar Agrochemicals Ltd.,INE972C01018,,BHASKAGR,Small Cap
Tirupati Fincorp Limited,INE642O01012,,TIRUFIN,Small Cap
TEAM24 CONSUMER PRODUCTS LIMITED,INE601A01017,,TEAM24,Small Cap
SECUREKLOUD TECHNOLOGIES LIMITED,INE650K01021,SECURKLOUD,SECURKLOUD,Small Cap
PRARUH TECHNOLOGIES LIMITED,INE0TI501017,,PRARUH,Small Cap
Kesar Terminals & Infrastructure Limited,INE096L01025,,KTIL,Small Cap
MAESTROS ELECTRONICS & TELECOMMUNICATIONS SYSTEMS LTD,INE318N01011,,METSL,Small Cap
Jetking Infotrain Ltd.,INE919C01019,,JETKINGQ,Small Cap
Rachit Prints Limited,INE0ZN101029,,RACHIT,Small Cap
AMPVOLTS LIMITED,INE989J01017,,AMPVOLTS,Small Cap
Skyline Millars Ltd,INE178E01026,,SKYLMILAR,Small Cap
Super Tannery Limited,INE460D01038,,SUPTANERY,Small Cap
Kkalpana Industries (India) Ltd,INE301C01028,,KKALPANAIND,Small Cap
Gujarat Hotels Ltd.,INE621C01011,,GUJHOTE,Small Cap
Waa Solar Limited,INE799N01012,,WAA,Small Cap
IRONWOOD EDUCATION LIMITED,INE791H01011,,IRONWOOD,Small Cap
Galaxy Agrico Exports Ltd.,INE803L01016,,GALAGEX,Small Cap
TPI India Ltd.,INE578C01021,,TPINDIA,Small Cap
HARIKANTA OVERSEAS LIMITED,INE1UYW01010,,HARIKANTA,Small Cap
Ajooni Biotech Ltd.,INE820Y01021,AJOONI,,Small Cap
Paras Petrofils Ltd.,INE162C01024,PARASPETRO,PARASPETRO,Small Cap
Kreon Finnancial Services Limited,INE302C01018,,KREONFIN,Small Cap
Agri-Tech India Ltd.,INE449G01018,AGRITECH,AGRITECH,Small Cap
GlobalSpace Technologies Limited,INE632W01016,,GSTL,Small Cap
Creative Castings Limited,INE146E01015,,CREATIVE,Small Cap
VIVID MERCANTILE LIMITED,INE647Z01025,,VIVIDM,Small Cap
Terai Tea Co. Ltd.,INE390D01011,,TERAI,Small Cap
Alkali Metals Limited,INE773I01017,ALKALI,ALKALI,Small Cap
EIKO LIFESCIENCES LIMITED,INE666Q01016,,EIKO,Small Cap
MALPANI PIPES AND FITTINGS LIMITED,INE0YON01014,,MALPANI,Small Cap
ADTECH SYSTEMS LIMITED,INE257C01014,,ADTECH,Small Cap
G.S. Auto International Ltd.,INE736H01024,,GSAUTO,Small Cap
Virat Crane Industries Ltd,INE295C01014,,VIRATCRA,Small Cap
Transwarranty Finance Limited,INE804H01012,TFL,TFL,Small Cap
HANDSON GLOBAL MANAGEMENT (HGM) LIMITED,INE596H01014,HGM,HGM,Small Cap
SGL RESOURCES LIMITED,INE967B01028,,SGLRES,Small Cap
Kemistar Corporation Limited,INE971L01029,,KEMISTAR,Small Cap
MEHUL COLOURS LIMITED,INE1KH601014,,MEHUL,Small Cap
Shine Fashions (India) Limited,INE0BLY01023,,SHINEFASH,Small Cap
Apoorva Leasing Finance & Investment Company Limited,INE217S01014,,APOORVA,Small Cap
My Money Securities Ltd.,INE232L01018,,MYMONEY,Small Cap
ECO HOTELS AND RESORTS LIMITED,INE638N01012,,ECOHOTELS,Small Cap
Shubham Polyspin Limited,INE01J501010,,SHUBHAM,Small Cap
Olatech Solutions Limited,INE0M3901015,,OLATECH,Small Cap
SWARNSARITA JEWELS INDIA LIMITED,INE967A01012,,SWARNSAR,Small Cap
Dynavision Limited,INE083E01010,,DYNAVSN,Small Cap
Universal Autofoundry Limited,INE203T01012,,UNIAUTO,Small Cap
Alliance Integrated Metaliks Limited,INE123D01024,,AIML,Small Cap
Future Consumer Limited,INE220J01025,FCONSUMER,FCONSUMER,Small Cap
Sundaram Multi Pap Ltd.,INE108E01023,SUNDARAM,SUNDARAM,Small Cap
ALKOSIGN LIMITED,INE0KA601012,,ALKOSIGN,Small Cap
Bacil Pharma Ltd.,INE711D01018,,BACPHAR,Small Cap
STEELMAN TELECOM LIMITED,INE0MSK01016,,STML,Small Cap
SKP Securities Ltd.,INE709B01016,,SKPSEC,Small Cap
Oceanic Foods Limited,INE711V01010,,OCEANIC,Small Cap
Indus Finance Limited,INE935D01013,,INDUSFINL,Small Cap
Royal India Corporation Limited,INE510H01015,,ROYALIND,Small Cap
Desi Farms India Limited,INE358F01013,,DESIFARMS,Small Cap
Mishka Finance and Trading Limited,INE231N01024,,MISHKAFIN,Small Cap
Restile Ceramics Ltd.,INE298E01022,,RESTILE,Small Cap
Garg Furnace Ltd.,INE194E01015,,GARGFUR,Small Cap
Continental Petroleums Ltd.,INE369D01023,,CONTPTR,Small Cap
YASH INNOVENTURES LIMITED,INE823D01011,,YASHINNO,Small Cap
Mangal Compusolution Limited,INE0RU901015,,MANGALCOMP,Small Cap
Bombay Cycle & Motor Agency Ltd.,INE691K01017,,BOMBCYC,Small Cap
ICODEX PUBLISHING SOLUTIONS LIMITED,INE111601014,,ICODEX,Small Cap
Hilltone Software and Gases Ltd,INE168C01013,,HILLTONE,Small Cap
ASSTON PHARMACEUTICALS LIMITED,INE0SJX01015,,APL,Small Cap
RAJ OIL MILLS LIMITED,INE294G01026,ROML,ROML,Small Cap
Riba Textiles Ltd.,INE811H01017,,RIBATEX,Small Cap
Sunil Healthcare Limited,INE671C01016,,SUNLOC,Small Cap
Sky Industries Ltd,INE765B01018,,SKYIND,Small Cap
Agro Phos India Ltd.,INE740V01019,AGROPHOS,,Small Cap
Anmol India Limited,INE02AR01019,ANMOL,ANMOL,Small Cap
H.M. ELECTRO MECH LIMITED,INE0DZD01015,,HMEML,Small Cap
Lords Mark Industries Limited,INE567L01017,,LORDSMARK,Small Cap
LAKHOTIA POLYESTERS (INDIA) LIMITED,INE191O01010,,LAKHOTIA,Small Cap
SHRISTI INFRASTRUCTURE DEVELOPMENT CORPORATION LTD.,INE472C01027,,SHRISTI,Small Cap
Royal Cushion Vinyl Products Ltd.,INE618A01011,,ROYALCU,Small Cap
Filtra Consultants and Engineers Limited,INE541R01019,,FILTRA,Small Cap
SOFCOM SYSTEMS LIMITED,INE499Q01012,,SOFCOM,Small Cap
Phaarmasia Limited.,INE486I01016,,PHRMASI,Small Cap
DELTA MANUFACTURING LIMITED,INE393A01011,DELTAMAGNT,DELTAMAGNT,Small Cap
IB Infotech Enterprises Ltd,INE678B01039,,IBINFO,Small Cap
COMFORT FINCAP LIMITED,INE274M01026,,COMFINCAP,Small Cap
Simran Farms Ltd.,INE354D01017,,SIMRAN,Small Cap
Nagarjuna Agritech Ltd.,INE793H01017,,NAGTECH,Small Cap
HIND ALUMINIUM INDUSTRIES LTD.,INE227B01019,,HINDALUMI,Small Cap
E-Land Apparel Limited,INE311H01018,,ELAND,Small Cap
Samrat Pharmachem Ltd.,INE103E01016,,SAMRATPH,Small Cap
B.N.Rathi Securities Ltd.,INE710D01028,,BNRSEC,Small Cap
JAYANT INFRATECH LIMITED,INE0KR801019,,JAYANT,Small Cap
Uniply Industries Ltd.,INE950G01023,,UNIPLY,Small Cap
Ashnoor Textiles Mills Ltd.,INE372I01018,,ASHNOOR,Small Cap
Bampsl Securities Ltd.,INE802A01037,,BAMPSL,Small Cap
Baba Arts Ltd,INE893A01036,,BABA,Small Cap
